YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature
201727,41,0,120,24.076947962293456
201728,40,0,110,22.2049107469141
201729,35,0,74,25.29671788293689
201730,35,0,58,24.58481440095162
201731,26,0,44,22.87631379127341
201732,30,0,35,21.572470077435035
201733,22,0,35,24.579592143839115
201734,24,0,20,23.05129508756888
201735,16,0,14,24.343766407942752
201736,18,0,20,21.45163760032272
201737,19,0,11,22.386805399311104
201738,13,0,10,22.93153928513085
201739,14,0,9,22.9133913423252
201740,19,0,6,22.356460440229007
201741,18,0,4,23.369491007203543
201742,19,0,5,21.619135808621245
201743,17,0,7,22.484491916130334
201744,15,0,10,22.687282196011324
201745,17,0,3,23.02154056150596
201746,18,0,2,23.158831768683896
201747,20,0,8,21.262689961904933
201748,24,0,10,20.79333304615497
201749,26,0,8,23.545239201936894
201750,24,0,10,22.539991555165773
201751,27,0,23,21.399306169777415
201752,21,0,17,23.63905984500429
201801,38,0,40,22.143697666922417
201802,42,0,46,23.147435379841177
201803,57,0,49,21.975771840335252
201804,56,0,51,23.90911644695492
201805,47,0,57,23.543824527663933
201806,50,0,56,21.47963469988945
201807,46,0,74,22.640284962470673
201808,43,0,68,22.254205124249253
201809,37,0,36,22.91757589534425
201810,26,0,42,20.524136040379588
201811,29,0,30,22.115226124105924
201812,17,0,23,22.42771431410487
201813,23,0,14,19.550665503979957
201814,20,0,12,20.066261640885088
201815,11,0,12,19.15040313893855
201816,9,0,6,20.86034364540189
201817,9,0,7,21.787407898790203
201818,13,0,11,22.512337858238062
201819,8,0,8,21.003077505947605
201820,14,0,6,22.472377541732524
201821,12,0,10,19.378439808579735
201822,7,0,11,18.969938098072863
201823,11,0,11,20.5325521091648
201824,13,0,11,20.88694452763412
201825,10,0,9,20.38496360123412
201826,8,0,12,18.264995519921737
201827,19,0,17,20.15809685108222
201828,18,0,27,18.85752666072355
201829,9,0,32,20.74644798069184
201830,13,0,22,20.358152948592046
201831,17,0,23,18.96645418680124
201832,14,0,24,19.307246326425304
201833,13,0,28,18.67667899250644
201834,8,0,19,19.58799268775562
201835,7,0,18,20.52059337616343
201836,20,0,26,18.494504279960037
201837,9,0,18,19.899056112446825
201838,11,0,22,18.779531249189937
201839,21,0,14,18.43169530593343
201840,12,0,15,19.032317048874617
201841,10,0,16,18.0188843570432
201842,18,0,15,18.415256644748787
201843,18,0,4,17.685807328140513
201844,15,0,10,20.76318962427915
201845,19,0,12,18.748507313967888
201846,12,0,8,17.92829752463697
201847,16,0,9,18.756782213997177
201848,15,0,12,18.34525352420552
201849,19,0,21,18.15139124499653
201850,20,0,20,18.90130681520657
201851,15,0,20,18.95942709584385
201852,21,0,28,17.58619750881941
201901,20,0,44,17.671205500545096
201902,22,0,60,15.559115303594549
201903,41,0,61,16.26062467676498
201904,34,0,57,19.05746927704145
201905,39,0,54,19.25034199373161
201906,37,0,62,17.27111751130734
201907,44,0,56,18.011489784552886
201908,23,0,82,17.660962246674053
201909,35,0,53,20.37888080845524
201910,29,0,41,18.419574911434577
201911,29,0,35,17.172082408519234
201912,37,0,22,16.344459559399574
201913,25,0,22,15.693553679742427
201914,19,0,35,17.503463635867224
201915,24,0,18,16.543649254715696
201916,17,0,23,15.877746290402326
201917,16,0,44,16.653427115757474
201918,19,0,38,16.218451996385607
201919,11,0,17,18.987141635072565
201920,27,0,29,18.18163975694945
201921,21,0,33,17.292027358683384
201922,27,0,20,18.779944138890027
201923,19,0,42,17.377368307647618
201924,30,0,37,16.438715798671737
201925,26,0,46,18.823124077269657
201926,24,0,25,17.83891004368466
201927,29,0,50,16.262753845673544
201928,25,0,40,17.10966132191639
201929,16,0,61,16.424381746615243
201930,29,0,62,15.917200269035664
201931,33,0,55,18.22617754753164
201932,21,0,46,19.20941664047013
201933,17,0,48,15.90143242618086
201934,21,0,75,17.86296923669057
201935,25,0,50,16.649357430878172
201936,39,0,68,16.812874616235305
201937,30,0,53,16.70760607576113
201938,29,0,71,16.436009230320185
201939,23,0,59,17.348521627944827
201940,24,0,44,16.469049883588962
201941,29,0,40,17.57045682577984
201942,25,0,26,17.249761890550865
201943,16,0,23,17.061051953133592
201944,19,0,20,16.392436337958404
201945,19,0,26,16.723228669431666
201946,31,0,27,18.05539122582576
201947,28,0,27,17.800917187624382
201948,13,0,43,16.32244475520145
201949,32,0,43,17.399332305429226
201950,31,0,39,18.05138712337179
201951,45,0,62,15.63059471887863
201952,35,0,75,17.843360192379937
