"YearWeek","ExcludedCases","PendingCases","ConfirmedCases"
"201001",39,0,16
"201002",47,0,7
"201003",37,0,7
"201004",29,0,10
"201005",23,0,7
"201006",16,0,5
"201007",21,0,1
"201008",21,0,1
"201009",12,0,3
"201010",10,0,1
"201011",11,0,4
"201012",8,0,2
"201013",7,0,0
"201014",4,0,4
"201015",6,0,1
"201016",8,0,4
"201017",10,0,6
"201018",6,0,15
"201019",14,0,11
"201020",15,0,16
"201021",5,0,12
"201022",7,0,12
"201023",8,0,10
"201024",7,0,9
"201025",12,0,15
"201026",13,0,29
"201027",20,0,21
"201028",18,0,18
"201029",18,0,40
"201030",24,0,29
"201031",32,0,60
"201032",28,0,58
"201033",38,0,56
"201034",32,0,46
"201035",45,0,46
"201036",38,0,51
"201037",26,0,42
"201038",22,0,22
"201039",31,0,23
"201040",23,0,17
"201041",22,0,10
"201042",8,0,17
"201043",16,0,18
"201044",17,0,11
"201045",20,0,7
"201046",22,0,8
"201047",18,0,9
"201048",20,0,9
"201049",22,0,10
"201050",24,0,12
"201051",21,0,15
"201052",22,0,22
"201101",45,0,57
"201102",55,0,103
"201103",105,0,194
"201104",137,0,205
"201105",141,0,182
"201106",175,0,142
"201107",163,0,76
"201108",145,0,55
"201109",118,0,20
"201110",115,0,10
"201111",80,0,7
"201112",64,0,6
"201113",49,0,7
"201114",37,0,2
"201115",34,0,6
"201116",29,0,1
"201117",17,0,4
"201118",18,0,4
"201119",14,0,1
"201120",12,0,4
"201121",12,0,1
"201122",11,0,0
"201123",10,0,2
"201124",8,0,2
"201125",6,0,3
"201126",6,0,0
"201127",10,0,3
"201128",13,0,2
"201129",8,0,4
"201130",12,0,5
"201131",8,0,2
"201132",9,0,6
"201133",5,0,7
"201134",11,0,6
"201135",11,0,1
"201136",9,0,1
"201137",16,0,1
"201138",8,0,4
"201139",15,0,5
"201140",21,0,10
"201141",26,0,5
"201142",23,0,8
"201143",40,0,11
"201144",28,0,18
"201145",14,0,5
"201146",29,0,14
"201147",22,0,15
"201148",26,0,19
"201149",24,0,27
"201150",42,0,35
"201151",39,0,56
"201152",59,0,111
"201201",86,0,168
"201202",111,0,130
"201203",102,0,125
"201204",86,0,105
"201205",94,0,121
"201206",72,0,65
"201207",65,0,60
"201208",49,0,46
"201209",60,0,53
"201210",40,0,32
"201211",48,0,34
"201212",32,0,26
"201213",45,0,19
"201214",43,0,13
"201215",17,0,17
"201216",27,0,27
"201217",19,0,15
"201218",27,0,17
"201219",33,0,13
"201220",21,0,29
"201221",22,0,26
"201222",33,0,17
"201223",24,0,23
"201224",24,0,40
"201225",37,0,44
"201226",48,0,57
"201227",30,0,71
"201228",34,0,46
"201229",47,0,30
"201230",34,0,22
"201231",26,0,19
"201232",18,0,22
"201233",19,0,12
"201234",19,0,9
"201235",14,0,13
"201236",11,0,1
"201237",11,0,3
"201238",13,0,3
"201239",12,0,6
"201240",13,0,3
"201241",22,0,0
"201242",7,0,1
"201243",17,0,0
"201244",17,0,2
"201245",21,0,1
"201246",18,0,1
"201247",13,0,2
"201248",9,0,0
"201249",10,0,1
"201250",21,0,0
"201251",10,0,1
"201252",16,0,4
"201301",23,0,5
"201302",23,0,4
"201303",13,0,6
"201304",21,0,18
