YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature,Year,Week,Season
201211,48,0,34,19.822802183011586,2012,11,1
201212,32,0,26,20.401931219492923,2012,12,1
201213,45,0,19,20.150892836820667,2012,13,1
201214,43,0,13,19.102147298272985,2012,14,1
201215,17,0,17,21.498868879774136,2012,15,1
201216,27,0,27,21.193199827312498,2012,16,1
201217,19,0,15,21.317519471035368,2012,17,1
201218,27,0,17,19.702320798564184,2012,18,1
201219,33,0,13,22.099723293661626,2012,19,1
201220,21,0,29,19.38029864929985,2012,20,1
201221,22,0,26,21.454227535259,2012,21,1
201222,33,0,17,23.14304679663531,2012,22,1
201223,24,0,23,20.04727557506125,2012,23,2
201224,24,0,40,20.556734899955767,2012,24,2
201225,37,0,44,21.307904724012783,2012,25,2
201226,48,0,57,20.789998434175548,2012,26,2
201227,30,0,71,19.828031386592215,2012,27,2
201228,34,0,46,21.525568732963418,2012,28,2
201229,47,0,30,20.47070972197447,2012,29,2
201230,34,0,22,22.082613543878946,2012,30,2
201231,26,0,19,20.765604556553143,2012,31,2
201232,18,0,22,23.31097087334767,2012,32,2
201233,19,0,12,21.05379085353708,2012,33,2
201234,19,0,9,21.59099030721083,2012,34,2
201235,14,0,13,22.80257671832936,2012,35,2
201236,11,0,1,20.834202862068924,2012,36,3
201237,11,0,3,22.368534790650195,2012,37,3
201238,13,0,3,23.524225287871676,2012,38,3
201239,12,0,6,20.685606976571208,2012,39,3
201240,13,0,3,22.553731747207927,2012,40,3
201241,22,0,0,22.704988360467233,2012,41,3
201242,7,0,1,23.302936115539307,2012,42,3
201243,17,0,0,21.3601702104271,2012,43,3
201244,17,0,2,21.352671985764093,2012,44,3
201245,21,0,1,23.271077842008452,2012,45,3
201246,18,0,1,23.12212862716793,2012,46,3
201247,13,0,2,23.1516444818238,2012,47,3
201248,9,0,0,23.323607518518088,2012,48,3
201249,10,0,1,22.37314226498581,2012,49,4
201250,21,0,0,23.361428361268487,2012,50,4
201251,10,0,1,23.498254814949355,2012,51,4
201252,16,0,4,22.56683860116749,2012,52,4
201301,23,0,5,23.907038295192017,2013,1,4
201302,23,0,4,22.31790955462077,2013,2,4
201303,13,0,6,24.24177433800043,2013,3,4
201304,21,0,18,22.686546736682462,2013,4,4
201305,21,0,10,24.524320688195427,2013,5,4
201306,20,0,12,24.97183934100357,2013,6,4
201307,21,0,16,23.068569121187636,2013,7,4
201308,20,0,31,24.928635246326852,2013,8,4
201309,27,0,17,24.45404772156222,2013,9,1
201310,16,0,24,24.93933463216339,2013,10,1
201311,25,0,29,26.09007513236604,2013,11,1
201312,27,0,21,24.023901711252407,2013,12,1
201313,33,0,43,23.591561340440972,2013,13,1
201314,36,0,46,23.531790752716127,2013,14,1
201315,37,0,41,23.6815025749194,2013,15,1
201316,46,0,26,24.49621882801392,2013,16,1
201317,40,0,40,24.990480189787853,2013,17,1
201318,25,0,45,24.99665241161409,2013,18,1
201319,34,0,38,25.6070296981723,2013,19,1
201320,12,0,26,24.85273317786639,2013,20,1
201321,29,0,41,26.35315019999801,2013,21,1
201322,22,0,36,24.694844126454942,2013,22,1
201323,21,0,38,27.73955496313472,2013,23,2
201324,11,0,35,25.70493798116232,2013,24,2
201325,13,0,23,24.281997913833237,2013,25,2
201326,23,0,21,24.128147809040613,2013,26,2
201327,13,0,20,25.74139755919712,2013,27,2
201328,17,0,11,25.095347195480297,2013,28,2
201329,11,0,7,26.09269531175044,2013,29,2
201330,8,0,11,25.9118172790841,2013,30,2
201331,8,0,9,25.42563557870589,2013,31,2
201332,12,0,7,24.71155561014657,2013,32,2
201333,6,0,11,24.103386940381313,2013,33,2
201334,7,0,12,25.231604049852365,2013,34,2
201335,8,0,10,26.594402633095065,2013,35,2
201336,11,0,11,26.011982419754,2013,36,3
201337,17,0,13,24.61203473376402,2013,37,3
201338,12,0,4,26.0908392751794,2013,38,3
201339,11,0,5,26.36286056590926,2013,39,3
201340,9,0,2,25.153570586831496,2013,40,3
201341,16,0,10,26.251037965830367,2013,41,3
201342,14,0,5,26.215406415183047,2013,42,3
201343,21,0,5,25.07411223575863,2013,43,3
201344,13,0,6,26.63475473078974,2013,44,3
201345,14,0,5,26.8976367336619,2013,45,3
201346,19,0,6,27.479788287321153,2013,46,3
201347,18,0,8,27.510423933032985,2013,47,3
201348,24,0,9,25.1388373498932,2013,48,3
201349,18,0,12,25.638566514787374,2013,49,4
201350,18,0,17,27.15131165876336,2013,50,4
201351,29,0,19,27.20994717931912,2013,51,4
201352,21,0,26,27.271093751565164,2013,52,4
201401,32,0,56,30.668662392766045,2014,1,4
201402,44,0,101,27.4467062496567,2014,2,4
201403,50,0,100,28.07126621599634,2014,3,4
201404,68,0,112,27.949587176161153,2014,4,4
201405,70,0,130,27.706861500825955,2014,5,4
201406,54,0,159,26.800085841732017,2014,6,4
201407,70,0,121,27.934209143717833,2014,7,4
201408,67,0,134,26.462299545539203,2014,8,4
201409,90,0,143,27.058190990188976,2014,9,1
201410,64,0,99,26.85052896656629,2014,10,1
201411,69,0,93,27.456922124031237,2014,11,1
201412,63,0,53,29.72886202156794,2014,12,1
201413,59,0,41,25.586093732552207,2014,13,1
201414,57,0,39,28.17877458576799,2014,14,1
201415,66,0,21,25.918953994453343,2014,15,1
201416,34,0,20,27.09889347010308,2014,16,1
201417,32,0,19,28.6989314031094,2014,17,1
201418,43,0,24,27.71341629548702,2014,18,1
201419,35,0,14,26.61054696871177,2014,19,1
201420,27,0,24,27.01214350763063,2014,20,1
201421,32,0,19,28.44620043607479,2014,21,1
201422,21,0,18,27.0753915256725,2014,22,1
201423,25,0,15,28.06137221722113,2014,23,2
201424,19,0,23,27.92964093779249,2014,24,2
201425,33,0,18,27.27162422053238,2014,25,2
201426,22,0,15,30.106324127713044,2014,26,2
201427,26,0,13,28.635454530955247,2014,27,2
201428,26,0,14,26.01554839222915,2014,28,2
201429,25,0,19,28.266300763905704,2014,29,2
201430,23,0,12,27.457215454617412,2014,30,2
201431,16,0,10,29.01059072443154,2014,31,2
201432,12,0,4,27.40479212145214,2014,32,2
201433,9,0,3,28.12173188866746,2014,33,2
201434,6,0,4,28.780611079364338,2014,34,2
201435,10,0,2,29.18053446480352,2014,35,2
201436,10,0,8,27.153638333827143,2014,36,3
201437,10,0,8,28.05858897529149,2014,37,3
201438,8,0,6,27.957300370221,2014,38,3
201439,15,0,3,27.81807191905777,2014,39,3
201440,11,0,2,30.276010862162096,2014,40,3
201441,16,0,1,28.954693803091477,2014,41,3
201442,16,0,2,27.327983608044992,2014,42,3
201443,10,0,1,29.545884979684335,2014,43,3
201444,15,0,1,30.78933469989171,2014,44,3
201445,8,0,1,29.738799233679742,2014,45,3
201446,6,0,0,27.226119477424103,2014,46,3
201447,12,0,1,28.30041084076139,2014,47,3
201448,14,0,2,30.090711533063786,2014,48,3
201449,16,0,0,28.155286388507896,2014,49,4
201450,9,0,0,29.345930752522428,2014,50,4
201451,11,0,2,29.715900848055057,2014,51,4
201452,15,0,2,28.05349179329716,2014,52,4
201501,17,0,9,28.93701974950442,2015,1,4
201502,14,0,8,25.748367976629584,2015,2,4
201503,23,0,10,27.958337886496803,2015,3,4
201504,24,0,14,28.723247587570373,2015,4,4
201505,23,0,21,27.72112276813112,2015,5,4
201506,25,0,24,30.59440746516004,2015,6,4
201507,26,0,21,27.52494499440021,2015,7,4
201508,20,0,17,28.5081320967963,2015,8,4
201509,15,0,28,29.07200737191181,2015,9,1
201510,21,0,18,30.375630294824273,2015,10,1
